@relation 'pacmanInformation-weka.filters.unsupervised.attribute.Remove-R7-8,17-22-weka.filters.unsupervised.attribute.Remove-R16'

@attribute PacPosX numeric
@attribute PacPosY numeric
@attribute ActN {North,None}
@attribute ActSo {South,None}
@attribute ActE {East,None}
@attribute ActW {West,None}
@attribute G1PosX numeric
@attribute G1PosY numeric
@attribute G2PosX numeric
@attribute G2PosY numeric
@attribute G3PosX numeric
@attribute G3PosY numeric
@attribute G4PosX numeric
@attribute G4PosY numeric
@attribute Score numeric
@attribute PacDir {North,South,East,West,Stop,None}

@data
9,1,None,None,East,West,1,2,4,1,3,1,18,9,3763,East
10,1,None,None,East,West,1,3,4,1,2,1,18,9,3762,East
11,1,None,None,East,West,1,3,3,1,2,1,17,9,3761,East
12,1,None,None,East,West,1,3,4,1,3,1,18,9,3760,East
13,1,North,None,None,West,1,2,4,2,2,1,18,9,3759,East
13,2,North,South,None,None,1,2,4,3,2,1,17,9,3758,North
13,3,North,South,East,West,1,1,5,3,3,1,16,9,3757,North
12,3,None,None,East,West,1,2,5,3,4,1,16,9,3856,West
11,3,None,None,East,West,1,1,6,3,4,2,15,9,3955,West
10,3,None,None,East,West,1,2,6,3,4,1,16,9,4054,West
9,3,None,None,East,West,1,2,6,3,3,1,17,9,4153,West
8,3,None,None,East,West,1,1,7,3,4,1,17,9,4252,West
7,3,None,None,East,West,1,1,4,1,4,1,16,9,4551,West
6,3,North,South,East,West,1,2,3,1,4,1,17,9,4550,West
6,2,North,South,None,None,1,3,2,1,4,1,17,9,4549,South
6,1,North,None,East,None,1,2,1,1,3,1,17,9,4548,South
7,1,None,None,East,West,1,2,1,1,4,1,18,9,4547,East
8,1,None,None,East,West,1,2,1,2,4,1,18,8,4546,East
9,1,None,None,East,West,1,2,1,3,3,1,18,7,4545,East
10,1,None,None,East,West,1,2,1,2,3,1,18,8,4544,East
11,1,None,None,East,West,1,3,1,2,2,1,18,9,4543,East
12,1,None,None,East,West,1,3,1,1,1,1,18,9,4542,East
13,1,North,None,None,West,1,3,1,2,2,1,17,9,4541,East
13,2,North,South,None,None,1,3,1,2,3,1,16,9,4540,North
13,3,North,South,East,West,1,2,1,3,2,1,16,9,4539,North
13,4,North,South,None,None,1,1,1,4,1,1,15,9,4538,North
13,5,North,South,East,None,1,1,1,3,1,1,15,9,4537,North
14,5,None,None,East,West,2,1,1,2,1,2,15,8,4636,East
15,5,None,None,East,West,3,1,1,1,1,3,15,7,4735,East
16,5,North,South,East,West,2,1,1,2,1,3,16,7,4834,East
9,1,None,None,East,West,3,3,8,5,11,5,18,9,0,Stop
10,1,None,None,East,West,3,4,8,5,10,5,18,9,99,East
11,1,None,None,East,West,3,5,9,5,9,5,18,9,198,East
12,1,None,None,East,West,4,5,10,5,9,6,17,9,297,East
13,1,North,None,None,West,4,5,11,5,10,6,17,9,396,East
13,2,North,South,None,None,3,5,11,5,10,6,17,9,495,North
13,3,North,South,East,West,2,5,10,5,10,6,17,9,594,North
13,4,North,South,None,None,2,5,11,5,10,6,18,9,693,North
13,5,North,South,East,None,3,5,10,5,10,7,18,9,792,North
13,6,North,South,None,None,3,6,10,5,10,6,18,9,891,North
13,7,North,South,East,West,3,5,10,5,9,6,17,9,990,North
12,7,None,None,East,West,3,6,10,6,9,6,16,9,1089,West
11,7,None,None,East,West,3,7,10,5,9,6,17,9,1188,West
10,7,None,South,East,West,4,7,10,5,9,5,18,9,1287,West
10,6,North,South,None,West,4,7,9,5,9,6,18,8,1286,South
9,6,North,South,East,None,3,7,3,1,6,1,18,9,1685,West
9,7,None,South,East,West,3,7,4,1,6,2,18,8,1784,North
8,7,None,None,East,West,3,7,4,2,6,1,18,8,1883,West
7,7,None,None,East,West,3,7,4,2,6,2,18,9,1982,West
6,7,North,South,East,West,4,7,4,1,6,3,18,8,2081,West
5,7,None,None,East,West,4,7,3,1,6,2,18,7,2180,West
9,1,None,None,East,West,3,3,8,5,11,5,18,9,0,Stop
10,1,None,None,East,West,3,3,8,5,11,5,18,9,99,East
11,1,None,None,East,West,3,3,8,5,11,5,18,9,198,East
12,1,None,None,East,West,3,3,8,5,11,5,18,9,297,East
13,1,North,None,None,West,3,3,8,5,11,5,18,9,396,East
13,2,North,South,None,None,3,3,8,5,11,5,18,9,495,North
13,3,North,South,East,West,3,3,8,5,11,5,18,9,594,North
13,4,North,South,None,None,3,3,8,5,11,5,18,9,693,North
13,5,North,South,East,None,3,3,8,5,11,5,18,9,792,North
13,6,North,South,None,None,3,3,8,5,11,5,18,9,891,North
13,7,North,South,East,West,3,3,8,5,11,5,18,9,990,North
12,7,None,None,East,West,3,3,8,5,11,5,18,9,1089,West
11,7,None,None,East,West,3,3,8,5,11,5,18,9,1188,West
10,7,None,South,East,West,3,3,8,5,11,5,18,9,1287,West
10,6,North,South,None,West,3,3,8,5,11,5,18,9,1286,South
9,1,None,None,East,West,3,3,8,5,11,5,18,9,0,Stop
10,1,None,None,East,West,3,3,9,5,10,5,18,9,99,East
11,1,None,None,East,West,4,3,10,5,9,5,18,9,198,East
12,1,None,None,East,West,3,3,9,5,8,5,18,8,297,East
13,1,North,None,None,West,4,3,9,6,9,5,18,8,396,East
13,2,North,South,None,None,5,3,9,5,8,5,18,7,495,North
13,3,North,South,East,West,5,3,9,5,9,5,18,8,594,North
13,4,North,South,None,None,5,3,9,6,10,5,18,7,693,North
13,5,North,South,East,None,5,3,9,6,9,5,18,7,792,North
13,6,North,South,None,None,5,3,10,6,9,6,18,7,891,North
13,7,North,South,East,West,6,3,10,7,10,6,18,7,990,North
12,7,None,None,East,West,6,4,11,7,9,6,18,8,1089,West
11,7,None,None,East,West,6,3,4,1,9,6,18,9,1388,West
10,7,None,South,East,West,6,3,4,1,9,5,18,8,1487,West
10,6,North,South,None,West,6,4,3,1,9,5,18,9,1486,South
9,6,North,South,East,None,6,4,4,1,5,1,17,9,1685,West
9,5,North,None,East,West,6,4,4,2,6,1,18,9,1684,South
8,5,None,None,East,None,6,3,4,3,7,1,18,8,1683,West
9,5,North,None,East,West,6,4,3,3,7,1,18,9,1682,East
10,5,North,None,East,West,6,4,3,3,7,1,17,9,1681,East
11,5,None,None,None,West,6,5,3,3,8,1,17,9,1680,East
10,5,North,None,East,West,5,5,3,4,8,1,17,9,1679,West
9,5,North,None,East,West,5,5,3,5,7,1,17,9,1678,West
8,5,None,None,East,None,6,5,3,6,8,1,17,9,1677,West
9,5,North,None,East,West,5,5,3,5,8,1,18,9,1676,East
10,5,North,None,East,West,6,5,2,5,8,1,18,9,1675,East
11,5,None,None,None,West,6,4,3,5,7,1,18,9,1674,East
10,5,North,None,East,West,6,5,3,4,6,1,18,8,1673,West
9,5,North,None,East,West,6,4,3,3,6,1,18,8,1672,West
8,5,None,None,East,None,6,3,3,4,6,2,18,8,1671,West
9,5,North,None,East,West,6,3,3,3,6,1,18,7,1670,East
10,5,North,None,East,West,6,2,4,3,6,2,18,6,1669,East
11,5,None,None,None,West,6,1,5,3,6,2,18,7,1668,East
10,5,North,None,East,West,6,1,6,3,6,1,18,7,1667,West
9,5,North,None,East,West,7,1,6,2,6,1,18,6,1666,West
