@relation 'pacmanInformation-weka.filters.unsupervised.attribute.Remove-R24-weka.filters.unsupervised.attribute.Remove-R7-8,17-22'

@attribute PacPosX numeric
@attribute PacPosY numeric
@attribute ActN {North,None}
@attribute ActSo {South,None}
@attribute ActE {East,None}
@attribute ActW {West,None}
@attribute G1PosX numeric
@attribute G1PosY numeric
@attribute G2PosX numeric
@attribute G2PosY numeric
@attribute G3PosX numeric
@attribute G3PosY numeric
@attribute G4PosX numeric
@attribute G4PosY numeric
@attribute Score numeric
@attribute PacDir {North,South,East,West,Stop,None}

@data
9,2,North,South,None,None,2,1,1,1,9,1,13,3,980,North
9,3,None,South,East,West,3,1,1,1,10,1,12,3,979,North
10,3,None,None,East,West,4,1,1,1,10,1,13,3,978,East
4,3,None,None,East,West,1,2,3,1,4,1,14,2,0,Stop
5,3,None,None,East,West,1,1,3,1,5,1,14,2,-1,East
6,3,None,None,None,West,2,1,3,1,5,1,14,2,-2,East
5,3,None,None,East,West,1,1,3,1,5,1,14,1,-3,West
4,3,None,None,East,West,1,2,2,1,4,1,13,1,-4,West
3,3,None,None,East,West,1,2,2,1,4,1,13,1,-5,West
2,3,None,None,East,West,1,1,2,1,5,1,12,1,-6,West
1,3,None,South,East,None,1,2,2,1,4,1,13,1,-7,West
1,2,North,South,None,None,2,1,1,1,5,1,13,1,192,South
1,1,North,None,East,None,1,1,2,1,4,1,12,1,691,South
2,1,None,None,East,West,1,1,3,1,3,1,13,1,1190,East
3,1,None,None,East,West,1,1,2,1,5,1,13,1,1589,East
4,1,None,None,East,West,1,1,1,1,6,1,13,1,1588,East
5,1,None,None,East,West,1,2,1,1,6,1,12,1,1587,East
6,1,None,None,East,West,1,1,1,2,5,1,13,1,1986,East
7,1,None,None,East,West,1,1,1,3,4,1,14,1,1985,East
8,1,None,None,East,West,1,1,2,3,3,1,14,2,1984,East
9,1,North,None,East,West,1,1,2,3,2,1,14,2,1983,East
9,2,North,South,None,None,1,2,2,3,2,1,14,1,1982,North
9,3,None,South,East,West,1,3,1,3,1,1,14,2,1981,North
10,3,None,None,East,West,1,3,2,3,2,1,14,3,1980,East
11,3,None,None,East,West,1,2,1,3,1,1,14,2,1979,East
4,3,None,None,East,West,1,2,3,1,4,1,14,2,0,Stop
5,3,None,None,East,West,1,2,3,1,3,1,14,2,-1,East
6,3,None,None,None,West,1,2,4,1,4,1,14,3,-2,East
5,3,None,None,East,West,1,3,5,1,4,1,14,3,-3,West
4,3,None,None,East,West,2,3,6,1,3,1,13,3,-4,West
3,3,None,None,East,West,1,1,6,1,3,1,13,3,195,West
2,3,None,None,East,West,1,2,6,1,3,1,13,3,194,West
1,3,None,South,East,None,1,2,7,1,3,1,12,3,193,West
1,2,North,South,None,None,2,1,7,1,4,1,12,3,392,South
1,1,North,None,East,None,1,1,6,1,3,1,12,3,691,South
2,1,None,None,East,West,1,2,5,1,4,1,11,3,790,East
3,1,None,None,East,West,1,3,6,1,5,1,11,3,989,East
4,1,None,None,East,West,2,3,5,1,6,1,11,3,988,East
5,1,None,None,East,West,2,3,2,1,5,1,10,3,1387,East
6,1,None,None,East,West,1,3,2,1,4,1,10,3,1386,East
7,1,None,None,East,West,1,2,1,1,4,1,9,3,1385,East
8,1,None,None,East,West,1,2,2,1,5,1,10,3,1384,East
9,1,North,None,East,West,1,2,2,1,5,1,11,3,1383,East
9,2,North,South,None,None,1,2,3,1,5,1,12,3,1382,North
9,3,None,South,East,West,1,2,3,1,5,1,12,3,1381,North
