@relation 'pacmanInformation-weka.filters.unsupervised.attribute.Remove-R24-weka.filters.unsupervised.attribute.Remove-R7-8,17-22'

@attribute PacPosX numeric
@attribute PacPosY numeric
@attribute ActN {North,None}
@attribute ActSo {South,None}
@attribute ActE {East,None}
@attribute ActW {West,None}
@attribute G1PosX numeric
@attribute G1PosY numeric
@attribute G2PosX numeric
@attribute G2PosY numeric
@attribute G3PosX numeric
@attribute G3PosY numeric
@attribute G4PosX numeric
@attribute G4PosY numeric
@attribute Score numeric
@attribute PacDir {North,South,East,West,Stop,None}

@data
6,3,North,South,East,West,1,5,1,1,6,1,17,9,3565,East
6,4,North,South,None,None,2,5,1,1,7,1,18,9,3664,North
6,5,North,South,None,West,3,5,1,2,6,1,17,9,3663,North
5,5,None,None,East,West,4,5,1,1,7,1,16,9,3662,West
4,5,None,None,East,West,2,1,2,1,7,1,16,9,3861,West
3,5,North,South,East,West,1,1,1,1,7,1,16,9,3860,West
3,6,North,South,None,None,2,1,1,2,6,1,15,9,3959,North
3,7,None,South,East,None,1,1,1,1,6,2,15,8,4058,North
4,7,North,None,East,West,2,1,1,1,6,3,15,8,4157,East
5,7,None,None,East,West,2,1,1,1,5,3,15,9,4256,East
6,7,North,South,East,West,3,1,1,2,4,3,15,8,4255,East
6,6,North,South,None,None,2,1,1,2,3,3,15,9,4254,South
6,5,North,South,None,West,2,1,1,1,3,3,16,9,4253,South
5,5,None,None,East,West,1,1,1,1,4,3,15,9,4252,West
4,5,None,None,East,West,1,1,1,1,3,3,15,9,4251,West
3,5,North,South,East,West,1,2,2,1,4,3,16,9,4250,West
3,4,North,South,None,None,1,2,1,1,4,2,17,9,4249,South
3,3,North,None,East,None,1,2,2,1,4,3,16,9,4248,South
4,3,None,South,East,West,1,1,1,1,6,1,16,9,4447,East
5,3,None,None,East,West,1,2,1,1,7,1,16,9,4446,East
6,3,North,South,East,West,1,2,1,1,7,1,17,9,4445,East
6,2,North,South,None,None,1,3,2,1,8,1,18,9,4544,South
6,1,North,None,East,None,1,4,2,1,9,1,18,9,4643,South
7,1,None,None,East,West,1,5,1,1,10,1,17,9,4742,East
8,1,None,None,East,West,1,4,1,2,9,1,16,9,4841,East
9,1,None,None,East,West,1,5,1,2,6,1,16,9,5040,East
10,1,None,None,East,West,1,4,1,3,6,2,15,9,5039,East
11,1,None,None,East,West,1,5,1,2,6,2,15,8,5038,East
12,1,None,None,East,West,1,4,1,1,6,3,15,8,5037,East
13,1,North,None,None,West,1,3,1,1,6,2,15,8,5036,East
13,2,North,South,None,None,1,4,1,2,6,1,15,8,5035,North
13,3,North,South,East,West,1,3,1,1,6,2,15,8,5034,North
13,4,North,South,None,None,1,3,1,2,6,3,15,7,5033,North
13,5,North,South,East,None,1,3,1,2,5,3,15,8,5032,North
14,5,None,None,East,West,1,2,1,3,6,3,15,8,5131,East
15,5,None,None,East,West,1,2,1,3,6,4,15,7,5230,East
16,5,North,South,East,West,1,1,1,2,6,4,14,7,5329,East
