@RELATION pacmanInformation
@ATTRIBUTE PacPosX NUMERIC
@ATTRIBUTE PacPosY NUMERIC
@ATTRIBUTE ActN {North, None}
@ATTRIBUTE ActSo {South, None}
@ATTRIBUTE ActE {East, None}
@ATTRIBUTE ActW {West, None}
@ATTRIBUTE ActS {Stop, None}
@ATTRIBUTE NumAgents NUMERIC
@ATTRIBUTE G1PosX NUMERIC
@ATTRIBUTE G1PosY NUMERIC
@ATTRIBUTE G2PosX NUMERIC
@ATTRIBUTE G2PosY NUMERIC
@ATTRIBUTE G3PosX NUMERIC
@ATTRIBUTE G3PosY NUMERIC
@ATTRIBUTE G4PosX NUMERIC
@ATTRIBUTE G4PosY NUMERIC
@ATTRIBUTE DistG1 NUMERIC
@ATTRIBUTE DistG2 NUMERIC
@ATTRIBUTE DistG3 NUMERIC
@ATTRIBUTE DistG4 NUMERIC
@ATTRIBUTE NumDots NUMERIC
@ATTRIBUTE DistDot NUMERIC
@ATTRIBUTE Score NUMERIC
@ATTRIBUTE NextScore NUMERIC
@ATTRIBUTE PacDir {North, South, East, West, Stop, None}
@DATA
13,3,North,South,East,West,Stop,3,7,1,9,5,10,5,6,3,0,6,5,6,57,1,3954,3953,South
12,3,None,None,East,West,Stop,3,6,1,8,5,11,5,7,3,0,6,3,5,57,2,3953,3952,West
11,3,None,None,East,West,Stop,3,7,1,8,5,10,5,7,3,0,5,3,3,57,3,3952,3951,West
10,3,None,None,East,West,Stop,3,6,1,9,5,9,5,8,3,0,3,3,2,57,4,3951,4150,West
9,3,None,None,East,West,Stop,3,6,1,8,5,10,5,8,3,0,3,3,0,57,3,4150,4149,West
8,3,None,None,East,West,Stop,3,6,2,8,5,11,5,7,1,3,2,5,0,57,2,4149,4148,West
7,3,None,None,East,West,Stop,3,6,3,9,5,10,5,8,1,1,4,5,0,57,2,4148,4347,West
6,3,North,South,East,West,Stop,2,1,2,8,5,9,5,7,1,6,4,5,0,57,1,4347,4346,West
6,4,North,South,None,None,Stop,2,1,1,9,5,8,5,7,1,0,4,3,0,57,2,4346,4345,North
6,5,North,South,None,West,Stop,2,1,2,10,5,8,5,7,1,8,4,2,0,57,1,4345,4344,North
6,6,North,South,None,None,Stop,2,1,1,9,5,8,5,8,1,0,4,3,0,57,2,4344,4343,North
6,7,North,South,East,West,Stop,2,1,1,9,5,9,5,9,1,0,5,5,0,57,1,4343,4442,North
7,7,None,None,East,West,Stop,2,1,2,9,6,9,5,10,1,11,3,4,0,56,1,4442,4541,East
8,7,None,None,East,West,Stop,2,1,1,9,5,9,6,9,1,0,3,2,0,55,1,4541,4840,East
9,7,None,South,East,West,Stop,1,2,1,8,5,5,1,9,1,0,3,0,0,54,1,4840,4839,East
9,6,North,South,East,None,Stop,1,3,1,8,5,4,1,9,1,0,2,0,0,54,2,4839,4838,South

9,1,None,None,East,West,Stop,4,3,3,8,5,11,5,18,9,8,5,6,17,95,1,0,99,Stop
10,1,None,None,East,West,Stop,4,3,3,9,5,11,5,18,9,9,5,5,16,94,1,99,198,East
11,1,None,None,East,West,Stop,4,3,4,10,5,11,5,18,9,11,5,4,14,93,1,198,297,East
12,1,None,None,East,West,Stop,4,3,4,11,5,11,5,17,9,12,5,5,14,92,1,297,396,East
