@relation pacmanInformation-weka.filters.unsupervised.attribute.Remove-R24

@attribute PacPosX numeric
@attribute PacPosY numeric
@attribute ActN {North,None}
@attribute ActSo {South,None}
@attribute ActE {East,None}
@attribute ActW {West,None}
@attribute ActS {Stop,None}
@attribute NumAgents numeric
@attribute G1PosX numeric
@attribute G1PosY numeric
@attribute G2PosX numeric
@attribute G2PosY numeric
@attribute G3PosX numeric
@attribute G3PosY numeric
@attribute G4PosX numeric
@attribute G4PosY numeric
@attribute DistG1 numeric
@attribute DistG2 numeric
@attribute DistG3 numeric
@attribute DistG4 numeric
@attribute NumDots numeric
@attribute DistDot numeric
@attribute Score numeric
@attribute PacDir {North,South,East,West,Stop,None}

@data
2,1,None,None,East,West,Stop,3,1,1,3,1,4,1,14,2,0,0,0,13,0,0,790,East
3,1,None,None,East,West,Stop,2,1,1,3,1,4,1,14,2,0,0,0,12,0,0,1189,East
4,1,None,None,East,West,Stop,1,1,1,3,1,5,1,14,2,0,0,0,11,0,0,1388,East
5,1,None,None,East,West,Stop,1,1,1,3,1,5,1,14,2,0,0,0,10,0,0,1787,East
6,1,None,None,East,West,Stop,1,1,1,3,1,5,1,14,2,0,0,0,9,0,0,1786,East
7,1,None,None,East,West,Stop,1,1,1,3,1,5,1,14,2,0,0,0,8,0,0,1785,East
8,1,None,None,East,West,Stop,1,1,1,3,1,5,1,14,2,0,0,0,7,0,0,1784,East
9,1,North,None,East,West,Stop,1,1,1,3,1,5,1,14,2,0,0,0,6,0,0,1783,East
9,2,North,South,None,None,Stop,1,1,1,3,1,5,1,14,2,0,0,0,5,0,0,1782,North
9,3,None,South,East,West,Stop,1,1,1,3,1,5,1,14,2,0,0,0,6,0,0,1781,North
10,3,None,None,East,West,Stop,1,1,1,3,1,5,1,14,2,0,0,0,5,0,0,1780,East
11,3,None,None,East,West,Stop,1,1,1,3,1,5,1,14,2,0,0,0,4,0,0,1779,East
12,3,None,None,East,West,Stop,1,1,1,3,1,5,1,14,2,0,0,0,3,0,0,1778,East
13,3,None,None,East,West,Stop,1,1,1,3,1,5,1,14,2,0,0,0,2,0,0,1777,East
4,3,None,None,East,West,Stop,4,1,2,3,1,4,1,14,2,4,0,0,11,2,4,0,Stop
5,3,None,None,East,West,Stop,4,1,2,3,1,4,1,14,2,5,0,0,10,2,5,-1,East
6,3,None,None,None,West,Stop,4,1,2,3,1,4,1,14,2,6,0,0,9,2,6,-2,East
5,3,None,None,East,West,Stop,4,1,2,3,1,4,1,14,2,5,0,0,10,2,5,-3,West
4,3,None,None,East,West,Stop,4,1,2,3,1,4,1,14,2,4,0,0,11,2,4,-4,West
3,3,None,None,East,West,Stop,4,1,2,3,1,4,1,14,2,3,0,0,12,2,3,-5,West
2,3,None,None,East,West,Stop,4,1,2,3,1,4,1,14,2,2,0,0,13,2,2,-6,West
1,3,None,South,East,None,Stop,4,1,2,3,1,4,1,14,2,1,0,0,14,2,2,-7,West
1,2,North,South,None,None,Stop,3,1,1,3,1,4,1,14,2,0,0,0,13,2,1,192,South
1,1,North,None,East,None,Stop,3,1,1,3,1,4,1,14,2,0,0,0,14,1,1,691,South
2,1,None,None,East,West,Stop,3,1,1,3,1,4,1,14,2,0,0,0,13,0,0,790,East
3,1,None,None,East,West,Stop,2,1,1,3,1,4,1,14,2,0,0,0,12,0,0,1189,East
4,1,None,None,East,West,Stop,1,1,1,3,1,5,1,14,2,0,0,0,11,0,0,1388,East
5,1,None,None,East,West,Stop,1,1,1,3,1,5,1,14,2,0,0,0,10,0,0,1787,East
6,1,None,None,East,West,Stop,1,1,1,3,1,5,1,14,2,0,0,0,9,0,0,1786,East
7,1,None,None,East,West,Stop,1,1,1,3,1,5,1,14,2,0,0,0,8,0,0,1785,East
8,1,None,None,East,West,Stop,1,1,1,3,1,5,1,14,2,0,0,0,7,0,0,1784,East
9,1,North,None,East,West,Stop,1,1,1,3,1,5,1,14,2,0,0,0,6,0,0,1783,East
9,2,North,South,None,None,Stop,1,1,1,3,1,5,1,14,2,0,0,0,5,0,0,1782,North
9,3,None,South,East,West,Stop,1,1,1,3,1,5,1,14,2,0,0,0,6,0,0,1781,North
10,3,None,None,East,West,Stop,1,1,1,3,1,5,1,14,2,0,0,0,5,0,0,1780,East
11,3,None,None,East,West,Stop,1,1,1,3,1,5,1,14,2,0,0,0,4,0,0,1779,East
12,3,None,None,East,West,Stop,1,1,1,3,1,5,1,14,2,0,0,0,3,0,0,1778,East
13,3,None,None,East,West,Stop,1,1,1,3,1,5,1,14,2,0,0,0,2,0,0,1777,East
4,3,None,None,East,West,Stop,4,1,2,3,1,4,1,14,2,4,0,0,11,2,4,0,Stop
5,3,None,None,East,West,Stop,4,1,2,3,1,5,1,14,2,5,0,0,10,2,5,-1,East
6,3,None,None,None,West,Stop,4,1,1,3,1,6,1,14,2,0,0,0,8,2,6,-2,East
5,3,None,None,East,West,Stop,4,2,1,4,1,5,1,14,3,0,0,0,10,2,5,-3,West
4,3,None,None,East,West,Stop,4,3,1,5,1,4,1,14,2,0,0,0,10,2,4,-4,West
3,3,None,None,East,West,Stop,4,4,1,5,1,4,1,14,3,0,0,0,11,2,3,-5,West
2,3,None,None,East,West,Stop,4,3,1,6,1,4,1,14,3,0,0,0,12,2,2,-6,West
1,3,None,South,East,None,Stop,4,4,1,6,1,3,1,14,3,0,0,0,14,2,2,-7,West
1,2,North,South,None,None,Stop,4,5,1,6,1,2,1,14,2,0,0,0,0,2,1,-8,South
1,1,North,None,East,None,Stop,4,5,1,6,1,2,1,14,1,0,0,0,0,1,1,91,South
2,1,None,None,East,West,Stop,3,6,1,5,1,6,1,13,1,0,0,0,0,0,0,390,East
3,1,None,None,East,West,Stop,3,7,1,6,1,6,1,14,1,0,0,0,12,0,0,389,East
4,1,None,None,East,West,Stop,3,6,1,6,1,7,1,14,2,0,0,0,12,0,0,388,East
5,1,None,None,East,West,Stop,3,7,1,7,1,8,1,14,3,0,0,0,11,0,0,387,East
6,1,None,None,East,West,Stop,2,8,1,3,1,7,1,14,3,0,0,0,9,0,0,586,East
7,1,None,None,East,West,Stop,1,1,1,3,1,5,1,14,2,0,0,0,8,0,0,985,East
8,1,None,None,East,West,Stop,1,1,2,2,1,6,1,14,2,8,0,0,0,0,0,984,East
