@relation pacmanInformation-weka.filters.unsupervised.attribute.Remove-R24

@attribute PacPosX numeric
@attribute PacPosY numeric
@attribute ActN {North,None}
@attribute ActSo {South,None}
@attribute ActE {East,None}
@attribute ActW {West,None}
@attribute ActS {Stop,None}
@attribute NumAgents numeric
@attribute G1PosX numeric
@attribute G1PosY numeric
@attribute G2PosX numeric
@attribute G2PosY numeric
@attribute G3PosX numeric
@attribute G3PosY numeric
@attribute G4PosX numeric
@attribute G4PosY numeric
@attribute DistG1 numeric
@attribute DistG2 numeric
@attribute DistG3 numeric
@attribute DistG4 numeric
@attribute NumDots numeric
@attribute DistDot numeric
@attribute Score numeric
@attribute PacDir {North,South,East,West,Stop,None}

@data
3,7,North,South,East,West,Stop,3,1,10,2,8,2,9,7,1,5,2,3,0,4,2,293,East
3,8,North,South,East,West,Stop,3,1,10,2,8,2,9,7,1,4,1,2,0,4,1,292,North
2,8,North,South,East,West,Stop,2,1,10,3,1,2,9,7,1,3,0,1,0,4,2,491,West
2,9,North,South,East,West,Stop,1,1,10,3,1,5,1,7,1,2,0,0,0,4,1,690,North
4,3,None,None,East,West,Stop,4,1,2,3,1,4,1,14,2,4,0,0,11,2,4,0,Stop
4,3,None,None,East,West,Stop,4,1,2,3,1,4,1,14,2,4,0,0,11,2,4,-1,Stop
4,3,None,None,East,West,Stop,4,1,2,3,1,4,1,14,2,4,0,0,11,2,4,-2,Stop
3,3,None,None,East,West,Stop,4,1,2,3,1,4,1,14,2,3,0,0,12,2,3,-3,West
2,3,None,None,East,West,Stop,4,1,2,3,1,4,1,14,2,2,0,0,13,2,2,-4,West
1,3,None,South,East,None,Stop,4,1,2,3,1,4,1,14,2,1,0,0,14,2,2,-5,West
1,2,North,South,None,None,Stop,3,1,1,3,1,4,1,14,2,0,0,0,13,2,1,194,South
1,1,North,None,East,None,Stop,3,1,1,3,1,4,1,14,2,0,0,0,14,1,1,693,South
2,1,None,None,East,West,Stop,3,1,1,3,1,4,1,14,2,0,0,0,13,0,0,792,East
3,1,None,None,East,West,Stop,2,1,1,3,1,4,1,14,2,0,0,0,12,0,0,1191,East
4,1,None,None,East,West,Stop,1,1,1,3,1,5,1,14,2,0,0,0,11,0,0,1390,East
5,1,None,None,East,West,Stop,1,1,1,3,1,5,1,14,2,0,0,0,10,0,0,1789,East
6,1,None,None,East,West,Stop,1,1,1,3,1,5,1,14,2,0,0,0,9,0,0,1788,East
7,1,None,None,East,West,Stop,1,1,1,3,1,5,1,14,2,0,0,0,8,0,0,1787,East
8,1,None,None,East,West,Stop,1,1,1,3,1,5,1,14,2,0,0,0,7,0,0,1786,East
9,1,North,None,East,West,Stop,1,1,1,3,1,5,1,14,2,0,0,0,6,0,0,1785,East
9,2,North,South,None,None,Stop,1,1,1,3,1,5,1,14,2,0,0,0,5,0,0,1784,North
9,3,None,South,East,West,Stop,1,1,1,3,1,5,1,14,2,0,0,0,6,0,0,1783,North
10,3,None,None,East,West,Stop,1,1,1,3,1,5,1,14,2,0,0,0,5,0,0,1782,East
11,3,None,None,East,West,Stop,1,1,1,3,1,5,1,14,2,0,0,0,4,0,0,1781,East
12,3,None,None,East,West,Stop,1,1,1,3,1,5,1,14,2,0,0,0,3,0,0,1780,East
13,3,None,None,East,West,Stop,1,1,1,3,1,5,1,14,2,0,0,0,2,0,0,1779,East
4,3,None,None,East,West,Stop,4,1,2,3,1,4,1,14,2,4,0,0,11,2,4,0,Stop
4,3,None,None,East,West,Stop,4,1,3,2,1,4,1,14,2,3,0,0,11,2,4,-1,Stop
3,3,None,None,East,West,Stop,4,1,2,1,1,4,1,14,2,3,0,0,0,2,3,-2,West
2,3,None,None,East,West,Stop,4,1,1,2,1,3,1,14,1,0,0,0,0,2,2,-3,West
1,3,None,South,East,None,Stop,4,1,1,1,1,3,1,14,1,0,0,0,0,2,2,-4,West
1,2,North,South,None,None,Stop,3,1,1,1,1,4,1,14,1,0,0,0,13,2,1,195,South
1,1,North,None,East,None,Stop,2,2,1,3,1,5,1,14,2,0,0,0,15,1,1,694,South
2,1,None,None,East,West,Stop,2,1,1,3,1,5,1,14,3,0,0,0,13,0,0,1393,East
3,1,None,None,East,West,Stop,2,1,2,4,1,5,1,13,3,3,0,0,12,0,0,1592,East
4,1,None,None,East,West,Stop,1,1,2,2,1,5,1,13,3,4,0,0,11,0,0,1991,East
5,1,None,None,East,West,Stop,1,1,3,2,1,4,1,13,3,6,0,0,9,0,0,2190,East
6,1,None,None,East,West,Stop,1,2,3,2,1,3,1,12,3,6,0,0,9,0,0,2189,East
5,1,None,None,East,West,Stop,1,3,3,3,1,3,1,13,3,4,0,0,10,0,0,2188,West
4,1,None,None,East,West,Stop,1,2,3,2,1,2,1,13,3,4,0,0,12,0,0,2187,West
3,1,None,None,East,West,Stop,1,1,3,1,1,1,1,14,3,4,0,0,13,0,0,2186,West
2,1,None,None,East,West,Stop,1,1,3,1,2,5,1,14,3,3,2,0,13,0,0,2385,West
